,movie,chapter,character,dialog,gender,releaseYear
0,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,Narcissa!,female,2009
1,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,Cissy! You mustn't do this.  He can't be trusted.,female,2009
2,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,The Dark Lord trusts him.,female,2009
3,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,The Dark Lord is mistaken.,female,2009
4,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,Or so I believe.,female,2009
5,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,"Well, who can one trust these days?",female,2009
6,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,He lives in this Muggle dunghill?,female,2009
7,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,"Run along, Wormtail.",male,2009
8,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,"I've nowhere else to turn, Severus.",female,2009
9,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,You must be joking.,female,2009
10,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,I know I ought not to be here. The Dark Lord himself has forbidden me to speak of this --,female,2009
11,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,"If the Dark Lord has forbidden it, you ought not to speak.",male,2009
12,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,"Put it down, Bella.  We mustn't touch what isn't ours. As it so happens I'm aware of your situation, Narcissa.",male,2009
13,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,You? The Dark Lord told you?,female,2009
14,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,"Your sister doubts me, Narcissa. Understandable.",male,2009
15,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,Over the years I have played my part well.  So well I've deceived one of the greatest wizards of all time.,male,2009
16,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,Dumbledore is a great wizard. Only a fool would question it.,male,2009
17,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,"I... I don't doubt you, Severus.",female,2009
18,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,"You should feel honored, Cissy. As should Draco --",female,2009
19,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,He's just a boy!,female,2009
20,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,I can't change the Dark Lord's mind.  But it might be possible for me to help Draco.  To provide some... protection.,male,2009
21,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,"Do you mean it, Severus?",female,2009
