,movie,chapter,character,dialog,gender,releaseYear,processed_tokens,processed_text,preprocessed_tokens,preprocessed_text
0,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,narcissa!,female,2009,"['narcissa', '!']",narcissa !,"['narcissa', '!']",narcissa !
1,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,cissy! you mustn't do this  he can't be trusted,female,2009,"['cissy', '!', 'must', 'not', 'not', 'trust']",cissy ! must not not trust,"['cissy', '!', 'must', 'not', 'not', 'trust']",cissy ! must not not trust
2,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,the dark lord trusts him,female,2009,"['dark', 'lord', 'trust']",dark lord trust,"['dark', 'lord', 'trust']",dark lord trust
3,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,the dark lord is mistaken,female,2009,"['dark', 'lord', 'mistaken']",dark lord mistaken,"['dark', 'lord', 'mistaken']",dark lord mistaken
4,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,or so i believe,female,2009,"['I', 'believe']",I believe,"['I', 'believe']",I believe
5,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,well who can one trust these days,female,2009,"['well', 'one', 'trust', 'day']",well one trust day,"['well', 'one', 'trust', 'day']",well one trust day
6,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,he lives in this muggle dunghill,female,2009,"['live', 'muggle', 'dunghill']",live muggle dunghill,"['live', 'muggle', 'dunghill']",live muggle dunghill
7,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,run along wormtail,male,2009,"['run', 'along', 'wormtail']",run along wormtail,"['run', 'along', 'wormtail']",run along wormtail
8,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,i've nowhere else to turn severus,female,2009,"['I', 'nowhere', 'else', 'turn', 'severus']",I nowhere else turn severus,"['I', 'nowhere', 'else', 'turn', 'severus']",I nowhere else turn severus
9,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,you must be joking,female,2009,"['must', 'joke']",must joke,"['must', 'joke']",must joke
10,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,i know i ought not to be here the dark lord himself has forbidden me to speak of this,female,2009,"['I', 'know', 'I', 'ought', 'not', 'dark', 'lord', 'forbid', 'I', 'speak']",I know I ought not dark lord forbid I speak,"['I', 'know', 'I', 'ought', 'not', 'dark', 'lord', 'forbid', 'I', 'speak']",I know I ought not dark lord forbid I speak
11,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,if the dark lord has forbidden it you ought not to speak,male,2009,"['dark', 'lord', 'forbid', 'ought', 'not', 'speak']",dark lord forbid ought not speak,"['dark', 'lord', 'forbid', 'ought', 'not', 'speak']",dark lord forbid ought not speak
12,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,put it down bella  we mustn't touch what isn't ours as it so happens i'm aware of your situation narcissa,male,2009,"['put', 'bella', 'must', 'not', 'touch', 'not', 'happen', 'I', 'aware', 'situation', 'narcissa']",put bella must not touch not happen I aware situation narcissa,"['put', 'bella', 'must', 'not', 'touch', 'not', 'happen', 'I', 'aware', 'situation', 'narcissa']",put bella must not touch not happen I aware situation narcissa
13,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,you the dark lord told you,female,2009,"['dark', 'lord', 'tell']",dark lord tell,"['dark', 'lord', 'tell']",dark lord tell
14,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,your sister doubts me narcissa understandable,male,2009,"['sister', 'doubt', 'I', 'narcissa', 'understandable']",sister doubt I narcissa understandable,"['sister', 'doubt', 'I', 'narcissa', 'understandable']",sister doubt I narcissa understandable
15,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,over the years i have played my part well  so well i've deceived one of the greatest wizards of all time,male,2009,"['year', 'I', 'play', 'part', 'well', 'well', 'I', 'deceive', 'one', 'great', 'wizard', 'time']",year I play part well well I deceive one great wizard time,"['year', 'I', 'play', 'part', 'well', 'well', 'I', 'deceive', 'one', 'great', 'wizard', 'time']",year I play part well well I deceive one great wizard time
16,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,dumbledore is a great wizard only a fool would question it,male,2009,"['dumbledore', 'great', 'wizard', 'fool', 'would', 'question']",dumbledore great wizard fool would question,"['dumbledore', 'great', 'wizard', 'fool', 'would', 'question']",dumbledore great wizard fool would question
17,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,i i don't doubt you severus,female,2009,"['I', 'I', 'not', 'doubt', 'severus']",I I not doubt severus,"['I', 'I', 'not', 'doubt', 'severus']",I I not doubt severus
18,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,you should feel honored cissy as should draco,female,2009,"['feel', 'honored', 'cissy', 'draco']",feel honored cissy draco,"['feel', 'honored', 'cissy', 'draco']",feel honored cissy draco
19,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,he's just a boy!,female,2009,"['boy', '!']",boy !,"['boy', '!']",boy !
20,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,i can't change the dark lord's mind  but it might be possible for me to help draco  to provide some protection,male,2009,"['I', 'not', 'change', 'dark', 'lord', ""'s"", 'mind', 'might', 'possible', 'I', 'help', 'draco', 'provide', 'protection']",I not change dark lord 's mind might possible I help draco provide protection,"['I', 'not', 'change', 'dark', 'lord', ""'s"", 'mind', 'might', 'possible', 'I', 'help', 'draco', 'provide', 'protection']",I not change dark lord 's mind might possible I help draco provide protection
21,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,do you mean it severus,female,2009,"['mean', 'severus']",mean severus,"['mean', 'severus']",mean severus
22,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,i can try,male,2009,"['I', 'try']",I try,"['I', 'try']",I try
23,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,oh severus please if you would i would be forever in your debt,female,2009,"['oh', 'severus', 'please', 'would', 'I', 'would', 'forever', 'debt']",oh severus please would I would forever debt,"['oh', 'severus', 'please', 'would', 'I', 'would', 'forever', 'debt']",oh severus please would I would forever debt
24,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,swear to it,female,2009,['swear'],swear,['swear'],swear
25,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,make the unbreakable vow you see  it's just empty words oh he'll try  he'll give it his best effort  but when it matters most he'll slither back into his hole  bloody coward,female,2009,"['make', 'unbreakable', 'vow', 'see', 'empty', 'word', 'oh', 'try', 'give', 'good', 'effort', 'matter', 'slither', 'back', 'hole', 'bloody', 'coward']",make unbreakable vow see empty word oh try give good effort matter slither back hole bloody coward,"['make', 'unbreakable', 'vow', 'see', 'empty', 'word', 'oh', 'try', 'give', 'good', 'effort', 'matter', 'slither', 'back', 'hole', 'bloody', 'coward']",make unbreakable vow see empty word oh try give good effort matter slither back hole bloody coward
26,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,take out your wand,male,2009,"['take', 'wand']",take wand,"['take', 'wand']",take wand
27,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,will you severus snape watch over draco malfoy as he attempts to fulfill the dark lord's wishes,female,2009,"['severus', 'snape', 'watch', 'draco', 'malfoy', 'attempt', 'fulfill', 'dark', 'lord', ""'s"", 'wish']",severus snape watch draco malfoy attempt fulfill dark lord 's wish,"['severus', 'snape', 'watch', 'draco', 'malfoy', 'attempt', 'fulfill', 'dark', 'lord', ""'s"", 'wish']",severus snape watch draco malfoy attempt fulfill dark lord 's wish
28,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,i will,male,2009,['I'],I,['I'],I
29,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,and will you to the best of your ability protect him from harm,female,2009,"['good', 'ability', 'protect', 'harm']",good ability protect harm,"['good', 'ability', 'protect', 'harm']",good ability protect harm
